Common name,species,taxid
Three-spine stickleback,Gasterosteus aculeatus,69293
Snake prickleback,Lumpenus sagitta,428036
Crescent gunnels ,Pholis laeta,283367
Pacific staghorn sculpin,Leptocottus armatus,214925
Whitespotted greenling,Hexagrammos stelleri,192378
Shiner perch,Cymatogaster aggregata,50794
Pacific sandlance,Ammodytes personatus ,215382
Pacific cod,Gadus macrocephalus,80720
Pacific rock sole,Lepidopsetta bilineata,195623
Lingcod,Ophiodon elongatus,225387
Bay pipefish,Syngnathus leptorhynchus,161587
Pacific herring,Clupea pallasii,30724
Yellowfin sole,Limanda aspera,195624
Copper rockfish,Sebastes caurinus,72063
Black rockfish,Sebastes melanops,72085
Yellowtail rockfish,Sebastes flavidus,42076
Brown rockfish,Sebastes auriculatus,72057
Chum salmon,Oncorhynchus keta,8018
Coho salmon,Oncorhynchus kisutch,8019
Pink salmon,Oncorhynchus gorbuscha,8017
Sockeye salmon,Oncorhynchus nerka,8023
Chinook salmon,Oncorhynchus tshawytscha,74940
Silverspotted sculpin,Blepsias cirrhosus,573213
