"","taxon","sample","field_blank","mock"
"1","Agonopsis vulsa",51,0,0
"2","Ammodytes personatus",423291.396817453,19822.1385042493,105028.824955
"3","Anoplarchus",119543.695156459,2.70207756232687,0
"4","Anoplopoma fimbria",163,0,0
"5","Apodichthys flavidus",4619,0,0
"6","Artedius fenestralis",47624,0,0
"7","Artedius harringtoni",5130,0,0
"8","Artedius lateralis",49804,2,0
"9","Aulorhynchus flavidus",13372,0,0
"10","Blepsias bilobus",149,0,0
"11","Blepsias cirrhosus",2827,0,27157
"12","Brachyistius frenatus",2859,0,0
"13","Chitonotus pugetensis",2448.67302466287,0,0
"14","Citharichthys sordidus",7830.621606,0,0
"15","Citharichthys stigmaeus",157395.16931641,6125.13181130172,0
"16","Clinocottus acuticeps",24686.5386148538,0,0
"17","Clinocottus embryum",442,0,0
"18","Clupea pallasii",698361.005213874,12049.0059500337,56686.32162
"19","Cottus",97633.8081403956,1574.36539816171,0
"20","Cottus_Leptocottus",537,0,0
"21","Cryptacanthodes giganteus",355,0,0
"22","Cymatogaster aggregata",623831.741056993,71037.4205460517,177708.151748
"23","Embiotoca lateralis",88,0,0
"24","Enophrys bison",61001,3,0
"25","Gadus",31499.0510304388,12858.8616456247,74985.46029
"26","Gasterosteus aculeatus",607718.277834246,3318.445659,50071.013
"27","Gobiesox maeandricus",4060,0,0
"28","Hemilepidotus hemilepidotus",7724,0,0
"29","Hexagrammos",42182,0,74334
"30","Hexagrammos decagrammus",7029,0,0
"31","Hippoglossus stenolepis",4518,3218,0
"32","Hypomesus",645,0,0
"33","Lepidogobius lepidus",2102,0,0
"34","Lepidopsetta",7914,0,43786
"35","Leptocottus armatus",79264.9436605485,9.235975,65117.866219
"36","Liparis mucosus",611,0,0
"37","Lumpenus sagitta",106591.217790475,19963.631102,73090.740975
"38","Microgadus proximus",5,2604,0
"39","Myoxocephalus",62322.3875017373,0,0
"40","Nautichthys oculofasciatus",999,0,0
"41","Oligocottus maculosus",114199.976180162,3.79164727780362,0
"42","Oligocottus snyderi",284,0,0
"43","Oncorhynchus",490,0,50
"44","Oncorhynchus clarkii",7680,2,0
"45","Oncorhynchus gorbuscha",354329.228054426,27663.1922587199,126081.255715
"46","Oncorhynchus keta",123322,1,76918
"47","Oncorhynchus kisutch",75685.2215165229,49799.0095297842,42727.701843
"48","Oncorhynchus mykiss",3079,0,0
"49","Oncorhynchus nerka",5367,0,10506
"50","Oncorhynchus tshawytscha",10143,438,5013
"51","Ophiodon elongatus",2798.01835440591,0,116180.31961
"52","Oxylebius pictus",220,0,0
"53","Pholis laeta",388960.012447448,2038.07493074792,90831.799
"54","Phytichthys chirus",1100,0,0
"55","Pleuronectidae 1",2718,0,32429
"56","Pleuronectidae 2",19391,2399,0
"57","Pleuronectidae 3",6207,0,832
"58","Pleuronichthys coenosus",13933,0,0
"59","Podothecus accipenserinus",31,0,0
"60","Rhamphocottus richardsonii",9,0,0
"61","Rhinogobiops nicholsii",10123,1539,0
"62","Ronquilus jordani",798,0,0
"63","Salvelinus",14928,5,0
"64","Scorpaenichthys marmoratus",549,0,0
"65","Sebastes 1",18271,1865,67970
"66","Sebastes 2",10178,0,50266
"67","Sebastes 3",7708.11286843604,0,36585.054519
"68","Sebastolobus",149,0,0
"69","Stichaeidae",696,0,0
"70","Stichaeus punctatus",1439,0,0
"71","Synchirus gilli",2040,0,0
"72","Syngnathus leptorhynchus",43533.1028757727,24199.5322993289,54345.831559
"73","Xiphister",21418,0,0
"74","Zaprora silenus",395,0,0
"75",NA,0,0,1
