"taxon","taxonomic_level"
"Cymatogaster aggregata","species"
"Clupea pallasii","species"
"Gasterosteus aculeatus","species"
"Ammodytes personatus","species"
"Pholis laeta","species"
"Citharichthys stigmaeus","species"
"Leptocottus armatus","species"
"Syngnathus leptorhynchus","species"
"Enophrys bison","species"
"Artedius fenestralis","species"
"Artedius lateralis","species"
"Clinocottus acuticeps","species"
"Pleuronichthys coenosus","species"
"Aulorhynchus flavidus","species"
"Rhinogobiops nicholsii","species"
"Liparis greeni","species"
"Citharichthys sordidus","species"
"Hexagrammos decagrammus","species"
"Hemilepidotus hemilepidotus","species"
"Artedius harringtoni","species"
"Apodichthys flavidus","species"
"Gobiesox maeandricus","species"
"Brachyistius frenatus","species"
"Blepsias cirrhosus","species"
"Ophiodon elongatus","species"
"Chitonotus pugetensis","species"
"Lepidogobius lepidus","species"
"Synchirus gilli","species"
"Stichaeus punctatus","species"
"Phytichthys chirus","species"
"Nautichthys oculofasciatus","species"
"Ronquilus jordani","species"
"Hypomesus pretiosus","species"
"Liparis mucosus","species"
"Scorpaenichthys marmoratus","species"
"Clinocottus embryum","species"
"Zaprora silenus","species"
"Cryptacanthodes giganteus","species"
"Oligocottus snyderi","species"
"Oxylebius pictus","species"
"Mallotus villosus","species"
"Anoplopoma fimbria","species"
"Blepsias bilobus","species"
"Embiotoca lateralis","species"
"Agonopsis vulsa","species"
"Podothecus accipenserinus","species"
"Rhamphocottus richardsonii","species"
